排名,書籍名稱,作者,連結,分類一
1,勇敢層級：用你喜歡的方式，活出你自己,紫嚴導師,https://www.books.com.tw/products/0010840659?loc=P_0003_001,宗教命理
2,原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,https://www.books.com.tw/products/0010822522?loc=P_0003_002,商業理財
3,反市場：JG股市操作原理,JG,https://www.books.com.tw/products/0010841396?loc=P_0003_003,商業理財
4,主力的思維：日本神之散戶cis，發一條推特就能撼動日經指數【隨書附2020年趨勢解析與投資規劃】,cis,https://www.books.com.tw/products/0010841394?loc=P_0003_004,商業理財
5,82年生的金智英,趙南柱,https://www.books.com.tw/products/0010785114?loc=P_0003_005,文學小說
6,我還是會繼續釀梅子酒,張西,https://www.books.com.tw/products/0010843761?loc=P_0003_006,文學小說
7,景氣循環投資,愛榭克,https://www.books.com.tw/products/0010840000?loc=P_0003_007,商業理財
8,外商CEO內傷的每一天,黃麗燕（瑪格麗特）,https://www.books.com.tw/products/0010840751?loc=P_0003_008,商業理財
9,蔡康永的情商課2：因為這是你的人生,蔡康永,https://www.books.com.tw/products/0010836474?loc=P_0003_009,心理勵志
10,二十一,陶晶瑩,https://www.books.com.tw/products/0010840739?loc=P_0003_010,文學小說
11,穿越撒哈拉：流浪，走向風沙未竟之地,謝哲青,https://www.books.com.tw/products/0010841952?loc=P_0003_011,文學小說
12,蔡康永的情商課：為你自己活一次,蔡康永,https://www.books.com.tw/products/0010802223?loc=P_0003_012,心理勵志
13,新制多益 NEW TOEIC 單字大全：2018起多益更新單字資訊完全掌握！(附13小時8種版本MP3),David Cho,https://www.books.com.tw/products/0010771883?loc=P_0003_013,語言學習
14,財務自由的人生：跟著首席分析師楊應超學華爾街的投資技巧和工作效率，40歲就過FIRE的優質生活,楊應超,https://www.books.com.tw/products/0010837858?loc=P_0003_014,商業理財
15,莫斯科紳士,亞莫爾．托歐斯,https://www.books.com.tw/products/0010835368?loc=P_0003_015,文學小說
16,Elite night：晏人物男子寫真,晏人物,https://www.books.com.tw/products/0010842682?loc=P_0003_016,生活風格
17,精準決策：哈佛商學院教你繞開大腦的偏誤，不出錯的做出好判斷,"麥斯．貝澤曼,唐．摩爾",https://www.books.com.tw/products/0010831772?loc=P_0003_017,商業理財
18,那一天：HIStory3,"冬彌,邵慧婷,巧克科技新媒體",https://www.books.com.tw/products/0010842086?loc=P_0003_018,生活風格
19,心智鍛鍊：成功實現目標的20堂課-最強大的心智科學╳最有效的學習心法（獨家限量雙作者親簽版）,"許皓宜,周思齊",https://www.books.com.tw/products/0010840517?loc=P_0003_019,心理勵志
20,最棒的禮物,賴馬,https://www.books.com.tw/products/0010825774?loc=P_0003_020,童書/青少年文學
21,終疆06：神秘高手,御我,https://www.books.com.tw/products/0010843019?loc=P_0003_021,輕小說
