排名,書籍名稱,作者,連結
1,月亮是夜晚唯一的光芒【限量贈「見月．打卡書籤」】,不朽,https://www.books.com.tw/products/0010903496?loc=P_0003_001
2,沙丘六部曲【套書】,法蘭克‧赫伯特,https://www.books.com.tw/products/0010902452?loc=P_0003_002
3,原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,https://www.books.com.tw/products/0010822522?loc=P_0003_003
4,內在原力：9個設定，活出最好的人生版本,愛瑞克,https://www.books.com.tw/products/0010897616?loc=P_0003_004
5,活出心中的太極,太極人,https://www.books.com.tw/products/0010902978?loc=P_0003_005
6,為什麼不能想怎樣就怎樣：王宏哲給孩子的情緒教育繪本2（贈1桌遊1學具）,王宏哲,https://www.books.com.tw/products/0010899139?loc=P_0003_006
7,股息Cover我每一天：600張存股達人絕活全公開,大俠武林,https://www.books.com.tw/products/0010898998?loc=P_0003_007
8,ONE PIECE航海王 100(首刷限定版),尾田榮一郎,https://www.books.com.tw/products/0010903734?loc=P_0003_008
9,社會在走，歷史要懂：呂捷開講,呂捷,https://www.books.com.tw/products/0010900428?loc=P_0003_009
10,新制多益 NEW TOEIC 單字大全：2018起多益更新單字資訊完全掌握！(附13小時8種版本MP3),David Cho,https://www.books.com.tw/products/0010771883?loc=P_0003_010
11,亞當理論：跨世紀順勢交易大師經典之作,威爾斯．威爾德,https://www.books.com.tw/products/0010901761?loc=P_0003_011
12,台指期傻瓜當沖法，讓我本金翻5倍：三種K棒走勢＋操作三原則，不鑽研個股、不盯籌碼，當天下單當天賺，下班回家接著賺！,Queen怜,https://www.books.com.tw/products/0010902719?loc=P_0003_012
13,屁屁偵探讀本10：屁屁偵探戀愛了？！,Troll,https://www.books.com.tw/products/0010904295?loc=P_0003_013
14,正韓小菜：五星韓廚的道地韓國小菜！從開胃泡菜到麻藥雞蛋，65道零失敗偷飯料理,孫榮KaiSon,https://www.books.com.tw/products/0010903139?loc=P_0003_014
15,一生一世美人骨,墨寶非寶,https://www.books.com.tw/products/0010801568?loc=P_0003_015
16,林務局2022「假面之森」月曆,行政院農業委員會林務局,https://www.books.com.tw/products/0010905643?loc=P_0003_016
17,月亮是夜晚唯一的光芒【博客來獨家-限量月之香氛禮物書組】,不朽,https://www.books.com.tw/products/0010903122?loc=P_0003_017
18,進擊的巨人 34完(首刷限定版),諫山創,https://www.books.com.tw/products/0010901589?loc=P_0003_018
19,T子％％走1（限量加贈「%%走金句」貼紙）,穀子,https://www.books.com.tw/products/0010904031?loc=P_0003_019
20,有溫度的手術刀：一個頂尖外科醫師的黑色幽默,陳光超,https://www.books.com.tw/products/0010903495?loc=P_0003_020
21,楞嚴經蠡測【第參冊】,王薀,https://www.books.com.tw/products/0010892546?loc=P_0003_021
22,歡迎光臨夢境百貨：您所訂購的夢已銷售一空,李美芮,https://www.books.com.tw/products/0010897792?loc=P_0003_022
23,波段存股法，讓我滾出千萬退休金：投資晚鳥教師43歲打造股市開心農場，「波段價差」+「股利再投入」，讓投資變零成本,江季芸,https://www.books.com.tw/products/0010900620?loc=P_0003_023
24,為什麼不能等一下：王宏哲給孩子的情緒教育繪本,王宏哲,https://www.books.com.tw/products/0010863227?loc=P_0003_024
